work_order_id,program,part_category,production_cell,priority_level,status,planned_start_date,planned_completion_date,forecast_completion_date,days_behind_schedule,material_available,supplier_delay_days,inspection_hold,quality_hold,rework_hours,defect_count,machine_availability_pct,labor_capacity_pct,estimated_cost_impact,delivery_risk_score,risk_category,primary_risk_driver,late_delivery_flag,late_delivery_probability,late_delivery_prediction
WO-0243,Horizon ISR,Power Module,Cell B,Urgent,In Progress,2026-05-14,2026-06-12,2026-06-17,5,True,0,False,True,10,2,81.6,64.0,3008.86,79.6,Critical,Quality / Rework,1,0.7529054737380001,1
WO-0244,Orion Sensor,Ground Support Bracket,Cell C,High,Material Hold,2026-05-04,2026-05-09,2026-05-11,2,True,0,False,False,0,0,87.5,86.7,0.0,17.4,Low,Priority Pressure,1,0.4347520295601678,0
WO-0245,Orion Sensor,Sensor Housing,Cell A,Medium,In Progress,2026-05-23,2026-06-15,2026-06-11,0,True,0,False,False,0,1,74.5,57.7,459.59,26.8,Low,Machine Capacity,0,0.47257870532272045,0
WO-0246,Falcon Shield,Power Module,Cell A,Low,In Progress,2026-05-21,2026-06-23,2026-07-03,10,False,6,False,False,7,3,100.0,92.9,8526.18,76.6,Critical,Schedule Delay,1,0.4476275416847767,0
WO-0247,Orion Sensor,Comms Enclosure,Cell D,Low,In Progress,2026-05-06,2026-06-08,2026-05-28,0,False,11,False,False,0,3,71.8,80.2,20408.19,60.8,High,Supplier / Material Delay,0,0.3195878754076786,0
WO-0248,Falcon Shield,Comms Enclosure,Cell A,Medium,Rework,2026-04-24,2026-05-11,2026-05-25,14,True,0,False,False,0,1,80.2,71.8,1129.36,53.8,Medium,Schedule Delay,1,0.6779959498236635,1
WO-0249,Horizon ISR,Ground Support Bracket,Cell C,High,In Progress,2026-04-13,2026-05-04,2026-05-13,9,True,0,False,False,8,0,97.6,77.6,1503.92,55.0,High,Schedule Delay,1,0.4119679241584184,0
WO-0250,Atlas Comms,Power Module,Cell D,Medium,Rework,2026-04-05,2026-05-03,2026-05-02,0,True,0,False,False,1,0,83.3,83.6,182.36,15.4,Low,Machine Capacity,0,0.44987879704437106,0
WO-0251,Orion Sensor,Ground Support Bracket,Cell A,Medium,Material Hold,2026-04-06,2026-04-19,2026-04-20,1,True,0,False,False,2,2,71.2,100.0,2371.46,26.6,Low,Machine Capacity,1,0.6896796659548848,1
WO-0252,Atlas Comms,Sensor Housing,Cell D,Medium,Material Hold,2026-05-10,2026-06-10,2026-06-05,0,False,5,False,True,17,4,93.7,99.1,11854.49,68.2,High,Quality / Rework,0,0.4267291479334949,0
WO-0253,Horizon ISR,Guidance Assembly,Cell C,Medium,In Progress,2026-05-16,2026-06-02,2026-06-09,7,True,0,True,True,2,2,93.1,86.6,2547.23,55.8,High,Schedule Delay,1,0.6965364585029843,1
WO-0254,Horizon ISR,Sensor Housing,Cell A,Urgent,Inspection,2026-04-13,2026-05-12,2026-05-03,0,True,0,False,False,10,0,94.0,100.0,1559.31,32.0,Medium,Priority Pressure,0,0.47869746776358874,0
WO-0255,Viper Ground,Comms Enclosure,Cell E,Medium,In Progress,2026-04-19,2026-05-09,2026-05-17,8,True,0,False,True,0,4,96.3,100.0,3740.03,53.8,Medium,Schedule Delay,1,0.5603125088300324,1
WO-0256,Orion Sensor,Flight Control Subassembly,Cell C,Low,Inspection,2026-05-01,2026-05-06,2026-05-03,0,True,0,False,False,3,1,86.7,79.6,1401.75,11.0,Low,Quality / Rework,0,0.28020061877193364,0
WO-0257,Orion Sensor,Power Module,Cell C,Low,Ready for Delivery,2026-04-03,2026-04-10,2026-04-07,0,True,0,False,False,7,1,85.1,98.8,2274.88,12.6,Low,Quality / Rework,0,0.4273220885423639,0
WO-0258,Falcon Shield,Flight Control Subassembly,Cell C,High,In Progress,2026-04-26,2026-05-06,2026-05-07,1,True,0,False,True,0,5,80.6,68.5,5972.03,54.2,Medium,Quality / Rework,1,0.4698603500101269,0
WO-0259,Atlas Comms,Guidance Assembly,Cell A,High,Ready for Delivery,2026-05-13,2026-05-19,2026-05-21,2,True,0,False,False,8,1,85.6,89.1,2963.09,31.4,Medium,Quality / Rework,1,0.62052646538746,1
WO-0260,Viper Ground,Guidance Assembly,Cell E,Medium,Rework,2026-05-22,2026-06-02,2026-06-10,8,False,16,False,False,2,0,77.3,93.2,22111.17,78.4,Critical,Supplier / Material Delay,1,0.6803339758708591,1
WO-0261,Horizon ISR,Sensor Housing,Cell C,High,In Progress,2026-04-05,2026-04-22,2026-04-19,0,False,3,True,False,0,0,94.7,84.1,4761.49,42.2,Medium,Supplier / Material Delay,0,0.4384506801883339,0
WO-0262,Atlas Comms,Sensor Housing,Cell C,High,Material Hold,2026-05-03,2026-05-08,2026-05-10,2,False,9,False,False,6,2,94.5,89.0,14860.62,65.0,High,Supplier / Material Delay,1,0.62183319646088,1
WO-0263,Orion Sensor,Guidance Assembly,Cell C,Low,Material Hold,2026-05-10,2026-05-29,2026-06-04,6,True,0,False,False,6,0,92.0,53.2,1066.39,36.6,Medium,Schedule Delay,1,0.637694600303173,1
WO-0264,Horizon ISR,Sensor Housing,Cell E,High,Inspection,2026-05-12,2026-06-06,2026-06-02,0,True,0,False,True,5,2,75.3,85.4,2678.88,40.6,Medium,Quality / Rework,0,0.6033317103341235,1
WO-0265,Atlas Comms,Sensor Housing,Cell D,Medium,Material Hold,2026-04-17,2026-05-01,2026-04-25,0,True,0,False,False,0,1,95.4,100.0,504.28,7.8,Low,Priority Pressure,0,0.5603270329917321,1
WO-0266,Viper Ground,Comms Enclosure,Cell E,High,In Progress,2026-05-15,2026-06-16,2026-06-24,8,True,0,False,False,4,0,80.8,61.5,925.93,56.2,High,Schedule Delay,1,0.6356853799462895,1
WO-0267,Falcon Shield,Sensor Housing,Cell A,Medium,In Progress,2026-05-05,2026-05-25,2026-05-24,0,True,0,False,False,1,1,100.0,76.5,972.59,13.2,Low,Priority Pressure,0,0.3646978810342719,0
WO-0268,Horizon ISR,Guidance Assembly,Cell D,High,Rework,2026-05-21,2026-05-29,2026-05-24,0,False,14,False,False,0,1,100.0,100.0,13899.82,53.8,Medium,Supplier / Material Delay,0,0.329835423465654,0
WO-0269,Atlas Comms,Power Module,Cell D,Urgent,In Progress,2026-05-15,2026-05-22,2026-06-05,14,False,16,False,False,1,1,81.1,88.8,20192.72,99.2,Critical,Supplier / Material Delay,1,0.6370807838045327,1
WO-0270,Atlas Comms,Flight Control Subassembly,Cell B,High,Inspection,2026-05-17,2026-05-28,2026-05-27,0,True,0,True,False,3,0,100.0,94.0,377.43,23.2,Low,Priority Pressure,0,0.35306645703918693,0
WO-0271,Falcon Shield,Comms Enclosure,Cell B,High,Ready for Delivery,2026-04-13,2026-05-10,2026-05-13,3,True,0,False,True,6,2,80.7,91.1,2143.18,51.6,Medium,Quality / Rework,1,0.4921308637776963,0
WO-0272,Viper Ground,Ground Support Bracket,Cell B,Medium,Material Hold,2026-04-16,2026-04-30,2026-04-23,0,True,0,False,False,3,0,100.0,70.3,442.97,18.2,Low,Labor Capacity,0,0.3922097226795163,0
WO-0273,Orion Sensor,Flight Control Subassembly,Cell A,High,In Progress,2026-05-23,2026-06-14,2026-06-18,4,True,0,False,False,0,1,63.2,86.4,1128.48,36.6,Medium,Schedule Delay,1,0.46281383699817313,0
WO-0274,Falcon Shield,Comms Enclosure,Cell B,Low,Inspection,2026-05-20,2026-06-03,2026-05-27,0,True,0,False,False,8,1,100.0,84.2,1617.76,18.0,Low,Quality / Rework,0,0.2846101226815945,0
WO-0275,Viper Ground,Ground Support Bracket,Cell B,Medium,Ready for Delivery,2026-04-10,2026-05-07,2026-05-07,0,False,20,True,False,0,0,100.0,90.5,29768.16,53.0,Medium,Supplier / Material Delay,0,0.3121883401039644,0
WO-0276,Orion Sensor,Ground Support Bracket,Cell A,Medium,Ready for Delivery,2026-04-01,2026-05-01,2026-05-06,5,True,0,False,False,15,0,74.3,100.0,2156.49,47.0,Medium,Quality / Rework,1,0.6335409749591736,1
WO-0277,Orion Sensor,Ground Support Bracket,Cell B,High,In Progress,2026-04-04,2026-05-04,2026-04-24,0,True,0,False,False,3,0,76.7,86.5,518.33,20.2,Low,Priority Pressure,0,0.4151531741479933,0
WO-0278,Viper Ground,Power Module,Cell D,High,Inspection,2026-04-22,2026-05-04,2026-05-10,6,True,0,False,False,5,0,76.3,99.1,933.43,42.2,Medium,Schedule Delay,1,0.5321310294127708,1
WO-0279,Viper Ground,Sensor Housing,Cell E,Medium,In Progress,2026-04-10,2026-04-26,2026-04-24,0,True,0,False,False,2,1,84.5,80.9,576.87,19.6,Low,Quality / Rework,0,0.37712984013779627,0
WO-0280,Falcon Shield,Ground Support Bracket,Cell C,Medium,Rework,2026-04-08,2026-04-24,2026-05-06,12,True,0,True,False,0,1,85.2,67.4,865.65,56.8,High,Schedule Delay,1,0.6941152421200635,1
WO-0281,Orion Sensor,Power Module,Cell C,High,Material Hold,2026-05-07,2026-05-26,2026-05-26,0,True,0,False,False,0,1,100.0,98.4,1082.58,13.8,Low,Priority Pressure,0,0.260565491850661,0
WO-0282,Orion Sensor,Guidance Assembly,Cell D,High,In Progress,2026-05-03,2026-05-16,2026-05-15,0,True,0,False,False,14,1,77.4,66.1,4196.01,43.8,Medium,Quality / Rework,0,0.3995196736043623,0
WO-0283,Viper Ground,Flight Control Subassembly,Cell D,High,Material Hold,2026-04-06,2026-05-03,2026-05-03,0,True,0,False,False,2,1,98.7,86.1,1193.22,16.6,Low,Priority Pressure,0,0.3156813599344635,0
WO-0284,Viper Ground,Comms Enclosure,Cell C,Medium,In Progress,2026-05-19,2026-06-17,2026-06-22,5,True,0,True,True,7,3,81.5,99.0,3297.77,64.2,High,Quality / Rework,1,0.7790860383660755,1
WO-0285,Horizon ISR,Flight Control Subassembly,Cell E,Low,In Progress,2026-05-13,2026-06-07,2026-06-11,4,True,0,False,False,1,1,100.0,81.2,774.51,21.0,Low,Schedule Delay,1,0.4946107257719864,0
WO-0286,Orion Sensor,Power Module,Cell E,Urgent,In Progress,2026-04-30,2026-05-24,2026-05-16,0,True,0,False,True,15,2,92.7,89.7,5872.67,51.6,Medium,Quality / Rework,0,0.382096223916073,0
WO-0287,Falcon Shield,Power Module,Cell A,Medium,Inspection,2026-05-15,2026-06-11,2026-06-12,1,False,7,True,False,0,0,76.2,72.4,12592.4,59.0,High,Supplier / Material Delay,1,0.5753724695179471,1
WO-0288,Orion Sensor,Sensor Housing,Cell C,Medium,In Progress,2026-05-24,2026-06-17,2026-06-14,0,True,0,False,False,0,1,97.6,60.0,382.19,16.8,Low,Labor Capacity,0,0.37295431914340277,0
WO-0289,Viper Ground,Comms Enclosure,Cell E,Medium,Inspection,2026-05-16,2026-05-22,2026-06-04,13,True,0,False,False,0,0,100.0,100.0,0.0,37.0,Medium,Schedule Delay,1,0.5602300355300053,1
WO-0290,Horizon ISR,Power Module,Cell C,Medium,Rework,2026-04-13,2026-04-22,2026-04-24,2,True,0,False,False,2,0,83.2,70.2,458.9,28.2,Low,Labor Capacity,1,0.6592947536800852,1
WO-0291,Orion Sensor,Comms Enclosure,Cell B,Low,In Progress,2026-03-31,2026-04-25,2026-04-26,1,True,0,True,False,0,3,53.1,94.3,2474.39,29.6,Low,Machine Capacity,1,0.5668172837458565,1
WO-0292,Viper Ground,Ground Support Bracket,Cell D,High,In Progress,2026-04-08,2026-05-09,2026-05-06,0,True,0,False,False,3,0,98.6,92.9,427.47,15.2,Low,Priority Pressure,0,0.34084282244234654,0
WO-0293,Horizon ISR,Sensor Housing,Cell C,Medium,Rework,2026-04-06,2026-05-05,2026-05-06,1,False,17,False,False,9,1,97.3,70.5,18945.79,72.6,High,Supplier / Material Delay,1,0.5307007474229144,1
WO-0294,Horizon ISR,Sensor Housing,Cell A,Medium,In Progress,2026-04-13,2026-04-23,2026-04-23,0,True,0,True,False,8,1,100.0,64.6,1719.59,36.0,Medium,Quality / Rework,0,0.40333224636801446,0
WO-0295,Falcon Shield,Sensor Housing,Cell A,High,In Progress,2026-04-23,2026-05-03,2026-04-30,0,True,0,False,False,5,2,100.0,86.5,1528.61,23.6,Low,Quality / Rework,0,0.4172514809488003,0
WO-0296,Atlas Comms,Power Module,Cell E,Medium,Material Hold,2026-04-27,2026-05-12,2026-05-12,0,True,0,False,False,7,1,89.9,73.1,2074.95,26.6,Low,Quality / Rework,0,0.41024871319117845,0
WO-0297,Viper Ground,Guidance Assembly,Cell E,Urgent,Material Hold,2026-05-22,2026-06-19,2026-07-02,13,True,0,True,False,3,0,92.9,83.3,382.14,66.2,High,Schedule Delay,1,0.5907740619392621,1
WO-0298,Atlas Comms,Sensor Housing,Cell B,Medium,Ready for Delivery,2026-04-26,2026-05-14,2026-05-19,5,False,17,False,False,4,1,100.0,99.8,17037.09,69.4,High,Supplier / Material Delay,1,0.6701278699050394,1
WO-0299,Orion Sensor,Ground Support Bracket,Cell C,Medium,Inspection,2026-04-22,2026-04-27,2026-04-29,2,True,0,False,False,0,0,93.0,82.7,0.0,15.4,Low,Schedule Delay,1,0.5729022912956488,1
WO-0300,Atlas Comms,Ground Support Bracket,Cell D,High,Ready for Delivery,2026-05-16,2026-06-10,2026-06-09,0,False,23,False,False,0,0,91.9,78.5,33929.53,55.0,High,Supplier / Material Delay,0,0.342461300028351,0
WO-0301,Atlas Comms,Sensor Housing,Cell B,Low,Inspection,2026-04-10,2026-05-11,2026-05-09,0,True,0,True,True,0,2,97.0,91.0,1659.06,25.6,Low,Quality / Rework,0,0.5179098314828738,1
WO-0302,Horizon ISR,Flight Control Subassembly,Cell C,Low,In Progress,2026-04-09,2026-04-18,2026-04-18,0,False,12,False,False,7,4,85.6,93.5,20901.3,61.0,High,Supplier / Material Delay,0,0.5508270802364422,1
WO-0303,Viper Ground,Sensor Housing,Cell B,Medium,Inspection,2026-04-02,2026-04-26,2026-04-26,0,False,8,False,False,3,1,79.2,57.7,9978.19,57.2,High,Supplier / Material Delay,0,0.5370859558758607,1
WO-0304,Falcon Shield,Guidance Assembly,Cell A,Medium,Ready for Delivery,2026-04-14,2026-05-18,2026-05-22,4,True,0,False,False,9,1,89.5,77.2,2839.24,37.2,Medium,Quality / Rework,1,0.6685109352996138,1
WO-0305,Falcon Shield,Sensor Housing,Cell B,Medium,In Progress,2026-04-12,2026-05-12,2026-05-02,0,False,10,False,False,0,0,81.0,69.8,10168.71,55.0,High,Supplier / Material Delay,0,0.2873641629245323,0
WO-0306,Atlas Comms,Flight Control Subassembly,Cell C,Medium,Material Hold,2026-04-02,2026-04-12,2026-04-26,14,False,20,False,True,12,2,95.7,92.3,38383.26,100.0,Critical,Supplier / Material Delay,1,0.7172090704175177,1
WO-0307,Atlas Comms,Comms Enclosure,Cell C,Urgent,In Progress,2026-05-14,2026-06-13,2026-06-12,0,False,6,False,False,1,0,73.2,95.5,9293.63,55.8,High,Supplier / Material Delay,0,0.590153463979221,1
WO-0308,Falcon Shield,Guidance Assembly,Cell B,Medium,In Progress,2026-04-10,2026-05-02,2026-04-22,0,False,3,True,False,0,2,87.4,92.8,3975.85,37.8,Medium,Supplier / Material Delay,0,0.37375500109688,0
WO-0309,Horizon ISR,Flight Control Subassembly,Cell B,Medium,Ready for Delivery,2026-05-20,2026-06-15,2026-06-27,12,False,6,True,False,0,1,82.1,100.0,9922.33,79.2,Critical,Schedule Delay,1,0.5616294788392998,1
WO-0310,Viper Ground,Ground Support Bracket,Cell D,Medium,Rework,2026-04-30,2026-05-23,2026-05-27,4,True,0,False,False,0,1,74.9,97.1,644.55,30.6,Medium,Schedule Delay,1,0.5880607723364094,1
WO-0311,Atlas Comms,Flight Control Subassembly,Cell C,Medium,Inspection,2026-05-11,2026-05-25,2026-05-30,5,True,0,False,False,0,2,72.0,70.7,2216.66,45.6,Medium,Schedule Delay,1,0.6426067292639831,1
WO-0312,Horizon ISR,Ground Support Bracket,Cell A,Low,Material Hold,2026-05-07,2026-05-24,2026-05-30,6,True,0,True,False,2,1,86.2,75.5,1322.76,36.8,Medium,Schedule Delay,1,0.5806305809062563,1
WO-0313,Viper Ground,Comms Enclosure,Cell B,Medium,In Progress,2026-04-02,2026-05-06,2026-05-11,5,True,0,False,True,2,3,70.5,60.6,1532.97,63.2,High,Quality / Rework,1,0.7397632242775904,1
WO-0314,Orion Sensor,Sensor Housing,Cell B,Low,In Progress,2026-04-04,2026-05-04,2026-05-06,2,False,4,False,True,2,5,94.5,55.6,11366.18,65.8,High,Quality / Rework,1,0.655367718060006,1
WO-0315,Orion Sensor,Power Module,Cell C,Medium,In Progress,2026-05-15,2026-05-31,2026-05-30,0,True,0,False,False,4,3,73.0,86.3,1483.84,29.0,Low,Quality / Rework,0,0.4205393390529826,0
WO-0316,Horizon ISR,Comms Enclosure,Cell A,High,In Progress,2026-05-08,2026-06-09,2026-06-07,0,True,0,False,False,10,0,71.7,91.8,2361.92,35.0,Medium,Quality / Rework,0,0.5033617194378289,1
WO-0317,Orion Sensor,Comms Enclosure,Cell C,High,Ready for Delivery,2026-04-17,2026-05-09,2026-05-10,1,True,0,True,False,11,0,97.5,100.0,1705.52,37.6,Medium,Quality / Rework,1,0.4621832800407573,0
WO-0318,Falcon Shield,Comms Enclosure,Cell D,High,In Progress,2026-05-17,2026-05-28,2026-05-20,0,True,0,True,False,1,1,84.1,84.9,906.95,32.2,Medium,Priority Pressure,0,0.30131008667802556,0
WO-0319,Orion Sensor,Guidance Assembly,Cell C,Medium,In Progress,2026-04-29,2026-05-07,2026-05-12,5,True,0,False,True,11,4,73.9,75.0,4433.24,73.6,High,Quality / Rework,1,0.6351372780080731,1
WO-0320,Horizon ISR,Power Module,Cell B,Low,Inspection,2026-05-01,2026-05-24,2026-05-31,7,True,0,True,False,4,1,82.2,87.7,1940.89,43.8,Medium,Schedule Delay,1,0.6204593118046271,1
WO-0321,Orion Sensor,Guidance Assembly,Cell E,Urgent,Inspection,2026-05-13,2026-05-21,2026-05-23,2,True,0,False,False,0,2,81.4,94.5,1621.4,35.0,Medium,Priority Pressure,1,0.5576793607050751,1
WO-0322,Falcon Shield,Guidance Assembly,Cell C,High,In Progress,2026-04-10,2026-05-07,2026-05-14,7,True,0,True,False,0,3,92.6,84.1,1467.52,53.8,Medium,Schedule Delay,1,0.6266373398872968,1
WO-0323,Viper Ground,Comms Enclosure,Cell B,Medium,In Progress,2026-04-12,2026-05-05,2026-04-29,0,False,14,False,False,3,1,91.5,73.4,23354.03,61.0,High,Supplier / Material Delay,0,0.37429881733994563,0
WO-0324,Orion Sensor,Guidance Assembly,Cell B,Urgent,Inspection,2026-05-11,2026-05-22,2026-05-22,0,True,0,True,True,6,2,93.2,87.5,2962.52,52.0,Medium,Quality / Rework,0,0.4398872424381349,0
WO-0325,Horizon ISR,Sensor Housing,Cell A,High,In Progress,2026-05-24,2026-06-13,2026-06-07,0,True,0,False,False,1,0,61.4,80.3,201.82,26.4,Low,Priority Pressure,0,0.4172317169247821,0
WO-0326,Atlas Comms,Sensor Housing,Cell D,Medium,Material Hold,2026-05-02,2026-06-04,2026-06-07,3,False,7,False,False,3,0,90.6,81.7,9566.7,51.6,Medium,Supplier / Material Delay,1,0.49659344433919933,0
WO-0327,Horizon ISR,Flight Control Subassembly,Cell E,High,In Progress,2026-05-12,2026-05-20,2026-05-16,0,True,0,False,False,0,0,90.7,77.9,0.0,15.0,Low,Priority Pressure,0,0.32837070355235687,0
WO-0328,Falcon Shield,Power Module,Cell D,High,In Progress,2026-04-25,2026-05-24,2026-05-27,3,True,0,False,False,0,0,87.7,67.4,0.0,29.6,Low,Priority Pressure,1,0.43015997586455956,0
WO-0329,Orion Sensor,Power Module,Cell B,Medium,Material Hold,2026-04-25,2026-05-08,2026-05-15,7,True,0,True,True,0,1,88.6,100.0,980.68,50.2,Medium,Schedule Delay,1,0.5582376824357543,1
WO-0330,Viper Ground,Power Module,Cell E,High,Inspection,2026-05-21,2026-05-29,2026-05-26,0,False,21,False,False,3,1,81.3,92.7,32293.42,63.0,High,Supplier / Material Delay,0,0.3906216536786606,0
WO-0331,Atlas Comms,Power Module,Cell E,High,In Progress,2026-04-10,2026-04-21,2026-04-26,5,False,18,False,False,0,0,75.4,74.4,20325.55,81.0,Critical,Supplier / Material Delay,1,0.6291392857865468,1
WO-0332,Falcon Shield,Flight Control Subassembly,Cell C,Low,In Progress,2026-04-07,2026-04-30,2026-04-26,0,True,0,False,True,0,2,90.2,99.8,1301.13,17.6,Low,Quality / Rework,0,0.31921427784629025,0
WO-0333,Orion Sensor,Power Module,Cell B,Low,Ready for Delivery,2026-04-23,2026-05-02,2026-05-02,0,False,17,False,False,1,0,95.6,79.4,16628.05,45.4,Medium,Supplier / Material Delay,0,0.35259060189895436,0
WO-0334,Orion Sensor,Comms Enclosure,Cell D,Low,In Progress,2026-04-27,2026-05-28,2026-05-22,0,True,0,False,True,0,2,67.7,70.3,872.54,36.6,Medium,Quality / Rework,0,0.33024113989109505,0
WO-0335,Orion Sensor,Sensor Housing,Cell C,High,Rework,2026-05-07,2026-05-15,2026-05-15,0,True,0,False,True,3,2,59.0,86.3,2322.59,42.8,Medium,Quality / Rework,0,0.4139480888023785,0
WO-0336,Horizon ISR,Power Module,Cell A,Urgent,Inspection,2026-04-17,2026-04-30,2026-05-04,4,True,0,True,False,0,0,82.0,71.9,0.0,52.8,Medium,Priority Pressure,1,0.5333150221749384,1
WO-0337,Horizon ISR,Flight Control Subassembly,Cell D,High,Rework,2026-04-21,2026-04-28,2026-04-28,0,False,14,False,True,0,2,99.8,66.4,21297.5,77.6,Critical,Supplier / Material Delay,0,0.3037180514313886,0
WO-0338,Horizon ISR,Flight Control Subassembly,Cell D,High,In Progress,2026-05-09,2026-05-26,2026-06-06,11,True,0,False,False,3,1,85.7,100.0,1680.09,50.0,Medium,Schedule Delay,1,0.5393053240106047,1
WO-0339,Falcon Shield,Flight Control Subassembly,Cell D,High,In Progress,2026-05-24,2026-06-11,2026-06-06,0,False,10,True,False,7,1,90.8,69.1,14758.61,76.6,Critical,Supplier / Material Delay,0,0.24782155000176725,0
WO-0340,Falcon Shield,Power Module,Cell C,Medium,In Progress,2026-05-02,2026-06-03,2026-06-05,2,True,0,True,False,0,0,76.9,100.0,0.0,24.4,Low,Inspection Hold,1,0.5875747074655805,1
WO-0341,Atlas Comms,Comms Enclosure,Cell D,Low,In Progress,2026-05-18,2026-06-16,2026-06-19,3,True,0,False,False,10,1,82.9,79.7,2989.21,35.4,Medium,Quality / Rework,1,0.5804546508497703,1
WO-0342,Horizon ISR,Sensor Housing,Cell D,High,Material Hold,2026-04-10,2026-05-08,2026-05-20,12,True,0,False,True,9,5,97.4,87.8,4996.83,81.6,Critical,Quality / Rework,1,0.6984539040084232,1
WO-0343,Atlas Comms,Power Module,Cell C,Urgent,In Progress,2026-05-09,2026-05-28,2026-05-21,0,True,0,False,False,4,1,95.3,100.0,1498.41,26.4,Low,Priority Pressure,0,0.5819084646684017,1
WO-0344,Horizon ISR,Sensor Housing,Cell D,Urgent,Material Hold,2026-05-24,2026-06-15,2026-06-29,14,True,0,False,False,0,1,100.0,60.5,793.9,61.8,High,Schedule Delay,1,0.5004305643550487,1
WO-0345,Orion Sensor,Comms Enclosure,Cell C,Low,In Progress,2026-04-07,2026-04-17,2026-04-07,0,True,0,False,False,0,0,84.9,83.0,0.0,9.0,Low,Machine Capacity,0,0.2811295446664559,0
WO-0346,Atlas Comms,Comms Enclosure,Cell C,Medium,In Progress,2026-05-23,2026-06-21,2026-06-17,0,True,0,False,False,6,1,88.5,100.0,1229.91,16.2,Low,Quality / Rework,0,0.3926516597285386,0
WO-0347,Falcon Shield,Comms Enclosure,Cell D,Urgent,Ready for Delivery,2026-05-03,2026-05-18,2026-05-12,0,True,0,False,True,15,0,100.0,85.7,2283.83,46.0,Medium,Quality / Rework,0,0.481569998486823,0
WO-0348,Viper Ground,Ground Support Bracket,Cell A,Low,Inspection,2026-05-04,2026-05-28,2026-06-03,6,True,0,False,False,4,0,77.3,96.1,786.36,29.8,Low,Schedule Delay,1,0.6022864346658627,1
WO-0349,Orion Sensor,Flight Control Subassembly,Cell A,Medium,Inspection,2026-04-20,2026-05-02,2026-04-30,0,True,0,True,False,14,0,95.7,85.8,3080.8,29.0,Low,Quality / Rework,0,0.4189427532158402,0
WO-0350,Horizon ISR,Guidance Assembly,Cell D,Low,In Progress,2026-05-21,2026-06-18,2026-06-12,0,True,0,False,False,0,0,89.1,82.3,0.0,4.0,Low,Labor Capacity,0,0.47052408516866895,0
